,Changes_Tempo,Song_Reaction,Chorus_Repeated,Title_Repeated,High_Notes,Beat_Drops,Bridge_Exists,Happiness_Level
Song #1: Ready for It,8,2,3,5,5,3,1,7
Song #2: End Game,4,2,4,19,5,1,1,9
Song #3: I Did Something Bad,6,1,3,9,0,3,1,6
Song #4: Don't Blame Me,8,1,3,7,6,3,1,6
Song #5: Delictae,4,2,3,16,0,2,1,5
Song #6: Look What You Made Me Do,8,1,3,32,0,3,1,7
Song #7: So it Goes,5,1,3,12,2,1,1,8
Song #8: Gorgeous,6,1,3,16,1,2,1,9
Song #9: Getaway Car,4,1,3,22,1,0,1,8
Song #10: King of my Heart,7,2,3,7,2,7,1,9
Song #11: Dancing with our Hands Tied,4,2,3,8,3,3,1,9
Song #12: Dress,8,4,4,9,0,1,1,9
Song #13: This is Why We Can't Have Nice Things,9,1,3,11,2,3,1,7
Song #14: Call it What you Want,2,4,3,16,1,0,1,7
Song #15: New Year's Day,6,3,4,3,0,0,0,2
Song #16: I Forgot That You Existed,3,2,3,6,0,0,0,7
Song #17: Cruel Summer,6,1,3,6,0,1,1,8
Song #18: Lover,4,4,3,6,1,0,1,9
Song #19: The Man,6,2,3,15,1,1,1,7
Song #20: The Archer,4,3,3,3,0,0,1,1
Song #21: I Think He Knows,6,2,3,12,3,0,1,9
Song #22: Miss Americana and The Heartbreak Prince,6,1,3,3,1,2,1,7
Song #23: Paper Rings,7,2,3,7,1,0,1,10
Song #24: Cornelia Street,5,3,3,13,1,0,1,3
Song #25: Death by a Thousand Cuts,3,1,2,6,0,2,1,4
Song #26: London Boy,5,1,3,6,1,1,1,9
Song #27: Soon You'll Get Better,4,3,3,10,0,0,1,1
Song #28: False God,2,4,2,6,0,0,1,6
Song #29: You Need to Calm Down,5,1,3,7,1,1,1,8
Song #30: Afterglow,5,4,3,3,0,3,1,3
Song #31: Me,8,1,3,28,5,1,1,10
Song #32: It's Nice to Have a Friend,2,4,2,7,0,0,0,5
Song #33: Daylight,6,3,3,35,5,2,1,4
Song #34: All of the Girls You Loved Before,6,1,3,6,4,1,1,8
